waypoint1	waypoint2	distance_m	duration_s
Sector 18, Chandigarh	Sector 3, Chandigarh	4326	594
Sector 3, Chandigarh	Sector 19, Chandigarh	4883	613
Sector 20, Chandigarh	Sector 3, Chandigarh	6541	903
Sector 21, Chandigarh	Sector 3, Chandigarh	5597	788
Sector 22, Chandigarh	Sector 3, Chandigarh	4938	696
Sector 23, Chandigarh	Sector 3, Chandigarh	4919	604
Sector 3, Chandigarh	Sector 24, Chandigarh	4977	648
Sector 25, Chandigarh	Sector 3, Chandigarh	5943	761
Sector 26, Chandigarh	Sector 3, Chandigarh	4249	525
Sector 27, Chandigarh	Sector 3, Chandigarh	5677	712
Sector 28, Chandigarh	Sector 3, Chandigarh	6360	812
Sector 29, Chandigarh	Sector 3, Chandigarh	7836	952
Sector 3, Chandigarh	Sector 30, Chandigarh	7085	899
Sector 3, Chandigarh	Sector 31, Chandigarh	9667	1237
Sector 3, Chandigarh	Sector 32, Chandigarh	8422	1086
Sector 33, Chandigarh	Sector 3, Chandigarh	8355	1119
Sector 34, Chandigarh	Sector 3, Chandigarh	6981	948
Sector 35, Chandigarh	Sector 3, Chandigarh	6054	797
Sector 36, Chandigarh	Sector 3, Chandigarh	6350	804
Sector 37, Chandigarh	Sector 3, Chandigarh	6379	829
Sector 38, Chandigarh	Sector 3, Chandigarh	7562	948
Sector 39, Chandigarh	Sector 3, Chandigarh	9151	1108
Sector 40, Chandigarh	Sector 3, Chandigarh	8315	1016
Sector 3, Chandigarh	Sector 41, Chandigarh	7848	988
Sector 42, Chandigarh	Sector 3, Chandigarh	8060	976
Sector 43, Chandigarh	Sector 3, Chandigarh	7445	983
Sector 44, Chandigarh	Sector 3, Chandigarh	8482	1147
Sector 3, Chandigarh	Sector 45, Chandigarh	9154	1181
Sector 5, Chandigarh	Sector 4, Chandigarh	1184	142
Sector 6, Chandigarh	Sector 4, Chandigarh	3203	364
Sector 7, Chandigarh	Sector 4, Chandigarh	2663	312
Sector 8, Chandigarh	Sector 4, Chandigarh	1565	213
Sector 9, Chandigarh	Sector 4, Chandigarh	948	157
Sector 10, Chandigarh	Sector 4, Chandigarh	1864	227
Sector 11, Chandigarh	Sector 4, Chandigarh	2566	287
Sector 12, Chandigarh	Sector 4, Chandigarh	3882	511
Sector 13, Chandigarh	Sector 4, Chandigarh	6177	803
Sector 14, Chandigarh	Sector 4, Chandigarh	5234	693
Sector 15, Chandigarh	Sector 4, Chandigarh	3831	454
Sector 16, Chandigarh	Sector 4, Chandigarh	3132	365
Sector 17, Chandigarh	Sector 4, Chandigarh	3095	383
Sector 18, Chandigarh	Sector 4, Chandigarh	3175	450
Sector 19, Chandigarh	Sector 4, Chandigarh	3658	449
Sector 20, Chandigarh	Sector 4, Chandigarh	5316	739
Sector 21, Chandigarh	Sector 4, Chandigarh	4351	671
Sector 22, Chandigarh	Sector 4, Chandigarh	4727	645
Sector 23, Chandigarh	Sector 4, Chandigarh	4709	553
Sector 24, Chandigarh	Sector 4, Chandigarh	5236	653
Sector 25, Chandigarh	Sector 4, Chandigarh	6201	766
Sector 26, Chandigarh	Sector 4, Chandigarh	3025	361
Sector 27, Chandigarh	Sector 4, Chandigarh	4452	548
Sector 28, Chandigarh	Sector 4, Chandigarh	5135	648
Sector 29, Chandigarh	Sector 4, Chandigarh	6611	788
Sector 30, Chandigarh	Sector 4, Chandigarh	5860	735
Sector 31, Chandigarh	Sector 4, Chandigarh	8443	1073
Sector 32, Chandigarh	Sector 4, Chandigarh	7197	922
Sector 33, Chandigarh	Sector 4, Chandigarh	7131	955
Sector 34, Chandigarh	Sector 4, Chandigarh	5700	881
Sector 35, Chandigarh	Sector 4, Chandigarh	5844	746
Sector 36, Chandigarh	Sector 4, Chandigarh	6127	775
Sector 37, Chandigarh	Sector 4, Chandigarh	6637	834
Sector 38, Chandigarh	Sector 4, Chandigarh	7820	953
Sector 39, Chandigarh	Sector 4, Chandigarh	9409	1113
Sector 40, Chandigarh	Sector 4, Chandigarh	8573	1021
Sector 41, Chandigarh	Sector 4, Chandigarh	8106	993
Sector 42, Chandigarh	Sector 4, Chandigarh	7433	925
Sector 43, Chandigarh	Sector 4, Chandigarh	7234	932
Sector 44, Chandigarh	Sector 4, Chandigarh	8272	1096
Sector 45, Chandigarh	Sector 4, Chandigarh	7912	1068
Sector 5, Chandigarh	Sector 6, Chandigarh	2469	283
Sector 7, Chandigarh	Sector 5, Chandigarh	1930	232
Sector 5, Chandigarh	Sector 8, Chandigarh	1535	202
Sector 5, Chandigarh	Sector 9, Chandigarh	1634	207
Sector 5, Chandigarh	Sector 10, Chandigarh	2596	287
Sector 5, Chandigarh	Sector 11, Chandigarh	3298	347
Sector 12, Chandigarh	Sector 5, Chandigarh	4614	571
Sector 5, Chandigarh	Sector 13, Chandigarh	5443	722
Sector 5, Chandigarh	Sector 14, Chandigarh	5966	753
Sector 15, Chandigarh	Sector 5, Chandigarh	4563	514
Sector 16, Chandigarh	Sector 5, Chandigarh	3864	424
Sector 17, Chandigarh	Sector 5, Chandigarh	3828	443
Sector 5, Chandigarh	Sector 18, Chandigarh	2980	393
Sector 5, Chandigarh	Sector 19, Chandigarh	2925	369
Sector 20, Chandigarh	Sector 5, Chandigarh	4583	658
Sector 21, Chandigarh	Sector 5, Chandigarh	4321	659
Sector 22, Chandigarh	Sector 5, Chandigarh	4206	663
Sector 5, Chandigarh	Sector 23, Chandigarh	5441	612
Sector 5, Chandigarh	Sector 24, Chandigarh	5968	713
Sector 25, Chandigarh	Sector 5, Chandigarh	6933	825
Sector 26, Chandigarh	Sector 5, Chandigarh	2291	281
Sector 27, Chandigarh	Sector 5, Chandigarh	3719	468
Sector 5, Chandigarh	Sector 28, Chandigarh	4402	567
Sector 29, Chandigarh	Sector 5, Chandigarh	5878	708
Sector 5, Chandigarh	Sector 30, Chandigarh	5126	654
Sector 5, Chandigarh	Sector 31, Chandigarh	7709	992
Sector 5, Chandigarh	Sector 32, Chandigarh	6464	842
Sector 33, Chandigarh	Sector 5, Chandigarh	6397	874
Sector 34, Chandigarh	Sector 5, Chandigarh	5842	849
Sector 35, Chandigarh	Sector 5, Chandigarh	6576	806
Sector 36, Chandigarh	Sector 5, Chandigarh	6859	835
Sector 37, Chandigarh	Sector 5, Chandigarh	7370	894
Sector 5, Chandigarh	Sector 38, Chandigarh	8553	1012
Sector 5, Chandigarh	Sector 39, Chandigarh	10142	1173
Sector 40, Chandigarh	Sector 5, Chandigarh	9305	1081
Sector 5, Chandigarh	Sector 41, Chandigarh	8838	1053
Sector 42, Chandigarh	Sector 5, Chandigarh	8166	985
Sector 43, Chandigarh	Sector 5, Chandigarh	7966	992
Sector 5, Chandigarh	Sector 44, Chandigarh	7489	1059
Sector 5, Chandigarh	Sector 45, Chandigarh	7178	987
Sector 7, Chandigarh	Sector 6, Chandigarh	2245	314
Sector 6, Chandigarh	Sector 8, Chandigarh	2744	349
Sector 6, Chandigarh	Sector 9, Chandigarh	3665	435
Sector 6, Chandigarh	Sector 10, Chandigarh	4627	515
Sector 6, Chandigarh	Sector 11, Chandigarh	5329	575
Sector 12, Chandigarh	Sector 6, Chandigarh	6645	798
Sector 6, Chandigarh	Sector 13, Chandigarh	3884	567
