waypoint1	waypoint2	distance_m	duration_s
Sector 29, Chandigarh	Sector 12, Chandigarh	8484	1151
Sector 12, Chandigarh	Sector 30, Chandigarh	7733	1097
Sector 12, Chandigarh	Sector 31, Chandigarh	10316	1435
Sector 12, Chandigarh	Sector 32, Chandigarh	8966	1275
Sector 12, Chandigarh	Sector 33, Chandigarh	8899	1307
Sector 12, Chandigarh	Sector 34, Chandigarh	7676	1112
Sector 35, Chandigarh	Sector 12, Chandigarh	6750	960
Sector 12, Chandigarh	Sector 36, Chandigarh	5748	833
Sector 12, Chandigarh	Sector 37, Chandigarh	6499	827
Sector 12, Chandigarh	Sector 38, Chandigarh	5289	721
Sector 12, Chandigarh	Sector 39, Chandigarh	6429	840
Sector 12, Chandigarh	Sector 40, Chandigarh	6326	865
Sector 12, Chandigarh	Sector 41, Chandigarh	7702	997
Sector 42, Chandigarh	Sector 12, Chandigarh	7458	1006
Sector 43, Chandigarh	Sector 12, Chandigarh	8054	1138
Sector 12, Chandigarh	Sector 44, Chandigarh	9105	1308
Sector 12, Chandigarh	Sector 45, Chandigarh	9776	1343
Sector 14, Chandigarh	Sector 13, Chandigarh	10958	1443
Sector 15, Chandigarh	Sector 13, Chandigarh	9555	1205
Sector 16, Chandigarh	Sector 13, Chandigarh	8856	1115
Sector 17, Chandigarh	Sector 13, Chandigarh	8820	1134
Sector 18, Chandigarh	Sector 13, Chandigarh	6146	953
Sector 13, Chandigarh	Sector 19, Chandigarh	5696	903
Sector 20, Chandigarh	Sector 13, Chandigarh	6934	1067
Sector 21, Chandigarh	Sector 13, Chandigarh	8010	1197
Sector 22, Chandigarh	Sector 13, Chandigarh	8325	1234
Sector 23, Chandigarh	Sector 13, Chandigarh	10433	1303
Sector 13, Chandigarh	Sector 24, Chandigarh	10960	1403
Sector 25, Chandigarh	Sector 13, Chandigarh	11925	1516
Sector 26, Chandigarh	Sector 13, Chandigarh	3208	524
Sector 27, Chandigarh	Sector 13, Chandigarh	4760	783
Sector 28, Chandigarh	Sector 13, Chandigarh	4437	714
Sector 29, Chandigarh	Sector 13, Chandigarh	5793	872
Sector 13, Chandigarh	Sector 30, Chandigarh	6148	902
Sector 13, Chandigarh	Sector 31, Chandigarh	7153	1151
Sector 13, Chandigarh	Sector 32, Chandigarh	8008	1150
Sector 33, Chandigarh	Sector 13, Chandigarh	7941	1182
Sector 34, Chandigarh	Sector 13, Chandigarh	9001	1349
Sector 35, Chandigarh	Sector 13, Chandigarh	10036	1492
Sector 36, Chandigarh	Sector 13, Chandigarh	11851	1526
Sector 37, Chandigarh	Sector 13, Chandigarh	12362	1585
Sector 38, Chandigarh	Sector 13, Chandigarh	13544	1703
Sector 39, Chandigarh	Sector 13, Chandigarh	15133	1863
Sector 40, Chandigarh	Sector 13, Chandigarh	14297	1771
Sector 13, Chandigarh	Sector 41, Chandigarh	13830	1743
Sector 42, Chandigarh	Sector 13, Chandigarh	12331	1665
Sector 43, Chandigarh	Sector 13, Chandigarh	11265	1580
Sector 44, Chandigarh	Sector 13, Chandigarh	10688	1539
Sector 13, Chandigarh	Sector 45, Chandigarh	9963	1438
Sector 15, Chandigarh	Sector 14, Chandigarh	1685	364
Sector 16, Chandigarh	Sector 14, Chandigarh	3474	485
Sector 17, Chandigarh	Sector 14, Chandigarh	3817	552
Sector 14, Chandigarh	Sector 18, Chandigarh	5388	807
Sector 14, Chandigarh	Sector 19, Chandigarh	5790	866
Sector 20, Chandigarh	Sector 14, Chandigarh	6204	969
Sector 21, Chandigarh	Sector 14, Chandigarh	5249	813
Sector 22, Chandigarh	Sector 14, Chandigarh	4590	720
Sector 14, Chandigarh	Sector 23, Chandigarh	3486	481
Sector 14, Chandigarh	Sector 24, Chandigarh	2990	499
Sector 25, Chandigarh	Sector 14, Chandigarh	1777	295
Sector 26, Chandigarh	Sector 14, Chandigarh	8182	1036
Sector 27, Chandigarh	Sector 14, Chandigarh	6713	989
Sector 14, Chandigarh	Sector 28, Chandigarh	7643	1071
Sector 29, Chandigarh	Sector 14, Chandigarh	7517	1029
Sector 14, Chandigarh	Sector 30, Chandigarh	6766	976
Sector 14, Chandigarh	Sector 31, Chandigarh	9348	1314
Sector 14, Chandigarh	Sector 32, Chandigarh	8083	1142
Sector 33, Chandigarh	Sector 14, Chandigarh	7741	1143
Sector 34, Chandigarh	Sector 14, Chandigarh	6621	956
Sector 35, Chandigarh	Sector 14, Chandigarh	5679	789
Sector 36, Chandigarh	Sector 14, Chandigarh	4649	660
Sector 37, Chandigarh	Sector 14, Chandigarh	4255	625
Sector 14, Chandigarh	Sector 38, Chandigarh	3684	538
Sector 14, Chandigarh	Sector 39, Chandigarh	4825	657
Sector 40, Chandigarh	Sector 14, Chandigarh	5009	690
Sector 14, Chandigarh	Sector 41, Chandigarh	5458	794
Sector 42, Chandigarh	Sector 14, Chandigarh	6376	822
Sector 43, Chandigarh	Sector 14, Chandigarh	6983	957
Sector 14, Chandigarh	Sector 44, Chandigarh	8034	1127
Sector 14, Chandigarh	Sector 45, Chandigarh	8705	1162
Sector 16, Chandigarh	Sector 15, Chandigarh	940	163
Sector 17, Chandigarh	Sector 15, Chandigarh	1614	303
Sector 15, Chandigarh	Sector 18, Chandigarh	3931	558
Sector 15, Chandigarh	Sector 19, Chandigarh	4441	611
Sector 15, Chandigarh	Sector 20, Chandigarh	4778	767
Sector 21, Chandigarh	Sector 15, Chandigarh	3823	611
Sector 22, Chandigarh	Sector 15, Chandigarh	3164	518
Sector 15, Chandigarh	Sector 23, Chandigarh	2060	279
Sector 15, Chandigarh	Sector 24, Chandigarh	1939	302
Sector 25, Chandigarh	Sector 15, Chandigarh	2905	415
Sector 26, Chandigarh	Sector 15, Chandigarh	6422	729
Sector 15, Chandigarh	Sector 27, Chandigarh	5265	727
Sector 15, Chandigarh	Sector 28, Chandigarh	6193	852
Sector 29, Chandigarh	Sector 15, Chandigarh	6091	827
Sector 15, Chandigarh	Sector 30, Chandigarh	5340	774
Sector 15, Chandigarh	Sector 31, Chandigarh	7923	1112
Sector 15, Chandigarh	Sector 32, Chandigarh	6657	940
Sector 15, Chandigarh	Sector 33, Chandigarh	6315	941
Sector 15, Chandigarh	Sector 34, Chandigarh	5195	754
Sector 35, Chandigarh	Sector 15, Chandigarh	4253	587
Sector 15, Chandigarh	Sector 36, Chandigarh	3312	458
Sector 15, Chandigarh	Sector 37, Chandigarh	3341	484
Sector 15, Chandigarh	Sector 38, Chandigarh	4524	602
Sector 15, Chandigarh	Sector 39, Chandigarh	6113	762
Sector 15, Chandigarh	Sector 40, Chandigarh	5277	670
Sector 15, Chandigarh	Sector 41, Chandigarh	4810	642
Sector 42, Chandigarh	Sector 15, Chandigarh	5022	631
Sector 43, Chandigarh	Sector 15, Chandigarh	5618	763
Sector 15, Chandigarh	Sector 44, Chandigarh	6669	933
Sector 15, Chandigarh	Sector 45, Chandigarh	7340	967
Sector 16, Chandigarh	Sector 17, Chandigarh	675	139
Sector 16, Chandigarh	Sector 18, Chandigarh	2291	418
Sector 16, Chandigarh	Sector 19, Chandigarh	3746	507
Sector 16, Chandigarh	Sector 20, Chandigarh	3921	649
Sector 16, Chandigarh	Sector 21, Chandigarh	2966	493
Sector 16, Chandigarh	Sector 22, Chandigarh	2306	401
Sector 16, Chandigarh	Sector 23, Chandigarh	1466	175
Sector 16, Chandigarh	Sector 24, Chandigarh	2028	280
Sector 16, Chandigarh	Sector 25, Chandigarh	2993	393
Sector 16, Chandigarh	Sector 26, Chandigarh	5729	634
Sector 16, Chandigarh	Sector 27, Chandigarh	4570	622
Sector 16, Chandigarh	Sector 28, Chandigarh	5498	748
Sector 16, Chandigarh	Sector 29, Chandigarh	5234	710
Sector 16, Chandigarh	Sector 30, Chandigarh	4482	656
Sector 16, Chandigarh	Sector 31, Chandigarh	7065	994
Sector 16, Chandigarh	Sector 32, Chandigarh	5767	834
Sector 16, Chandigarh	Sector 33, Chandigarh	5469	841
Sector 16, Chandigarh	Sector 34, Chandigarh	4349	654
Sector 16, Chandigarh	Sector 35, Chandigarh	3423	502
Sector 16, Chandigarh	Sector 36, Chandigarh	3401	436
Sector 16, Chandigarh	Sector 37, Chandigarh	3430	462
Sector 16, Chandigarh	Sector 38, Chandigarh	4613	580
Sector 16, Chandigarh	Sector 39, Chandigarh	6202	740
Sector 16, Chandigarh	Sector 40, Chandigarh	5366	648
Sector 16, Chandigarh	Sector 41, Chandigarh	4899	621
Sector 16, Chandigarh	Sector 42, Chandigarh	5111	609
Sector 16, Chandigarh	Sector 43, Chandigarh	4813	689
Sector 16, Chandigarh	Sector 44, Chandigarh	5851	852
Sector 16, Chandigarh	Sector 45, Chandigarh	6522	887
Sector 17, Chandigarh	Sector 18, Chandigarh	1594	351
Sector 17, Chandigarh	Sector 19, Chandigarh	2088	459
Sector 17, Chandigarh	Sector 20, Chandigarh	3676	617
Sector 21, Chandigarh	Sector 17, Chandigarh	2720	460
Sector 22, Chandigarh	Sector 17, Chandigarh	2061	368
Sector 17, Chandigarh	Sector 23, Chandigarh	2043	276
Sector 17, Chandigarh	Sector 24, Chandigarh	2605	381
Sector 17, Chandigarh	Sector 25, Chandigarh	3570	494
Sector 17, Chandigarh	Sector 26, Chandigarh	5708	658
Sector 17, Chandigarh	Sector 27, Chandigarh	2951	619
Sector 17, Chandigarh	Sector 28, Chandigarh	5114	718
Sector 29, Chandigarh	Sector 17, Chandigarh	4988	677
Sector 17, Chandigarh	Sector 30, Chandigarh	4237	623
Sector 17, Chandigarh	Sector 31, Chandigarh	6820	961
Sector 17, Chandigarh	Sector 32, Chandigarh	5521	801
Sector 17, Chandigarh	Sector 33, Chandigarh	5223	808
Sector 17, Chandigarh	Sector 34, Chandigarh	4104	621
Sector 17, Chandigarh	Sector 35, Chandigarh	3178	469
Sector 17, Chandigarh	Sector 36, Chandigarh	3461	499
Sector 17, Chandigarh	Sector 37, Chandigarh	4007	563
Sector 17, Chandigarh	Sector 38, Chandigarh	5190	681
Sector 17, Chandigarh	Sector 39, Chandigarh	6779	841
Sector 17, Chandigarh	Sector 40, Chandigarh	5943	749
Sector 17, Chandigarh	Sector 41, Chandigarh	5476	721
Sector 42, Chandigarh	Sector 17, Chandigarh	4767	649
Sector 17, Chandigarh	Sector 43, Chandigarh	4568	656
Sector 17, Chandigarh	Sector 44, Chandigarh	5606	819
Sector 17, Chandigarh	Sector 45, Chandigarh	6277	854
Sector 18, Chandigarh	Sector 19, Chandigarh	494	107
Sector 20, Chandigarh	Sector 18, Chandigarh	2113	372
Sector 21, Chandigarh	Sector 18, Chandigarh	2371	387
Sector 22, Chandigarh	Sector 18, Chandigarh	2269	413
Sector 23, Chandigarh	Sector 18, Chandigarh	3463	545
Sector 18, Chandigarh	Sector 24, Chandigarh	4025	650
Sector 25, Chandigarh	Sector 18, Chandigarh	4990	762
Sector 26, Chandigarh	Sector 18, Chandigarh	3083	439
Sector 27, Chandigarh	Sector 18, Chandigarh	1357	268
Sector 28, Chandigarh	Sector 18, Chandigarh	2274	423
Sector 29, Chandigarh	Sector 18, Chandigarh	3408	421
Sector 18, Chandigarh	Sector 30, Chandigarh	2657	368
Sector 18, Chandigarh	Sector 31, Chandigarh	5239	706
Sector 18, Chandigarh	Sector 32, Chandigarh	3994	555
Sector 33, Chandigarh	Sector 18, Chandigarh	3927	587
Sector 34, Chandigarh	Sector 18, Chandigarh	3372	562
Sector 35, Chandigarh	Sector 18, Chandigarh	4392	689
Sector 36, Chandigarh	Sector 18, Chandigarh	4947	748
Sector 37, Chandigarh	Sector 18, Chandigarh	5427	831
Sector 18, Chandigarh	Sector 38, Chandigarh	6610	949
Sector 18, Chandigarh	Sector 39, Chandigarh	8199	1110
Sector 40, Chandigarh	Sector 18, Chandigarh	7363	1018
Sector 18, Chandigarh	Sector 41, Chandigarh	6896	990
Sector 42, Chandigarh	Sector 18, Chandigarh	6662	898
Sector 43, Chandigarh	Sector 18, Chandigarh	5596	813
Sector 44, Chandigarh	Sector 18, Chandigarh	5019	773
Sector 18, Chandigarh	Sector 45, Chandigarh	4708	701
Sector 20, Chandigarh	Sector 19, Chandigarh	2114	364
Sector 21, Chandigarh	Sector 19, Chandigarh	2372	380
Sector 22, Chandigarh	Sector 19, Chandigarh	2671	407
Sector 23, Chandigarh	Sector 19, Chandigarh	3882	565
Sector 24, Chandigarh	Sector 19, Chandigarh	4445	671
Sector 25, Chandigarh	Sector 19, Chandigarh	5410	783
Sector 26, Chandigarh	Sector 19, Chandigarh	2513	397
Sector 27, Chandigarh	Sector 19, Chandigarh	840	156
Sector 28, Chandigarh	Sector 19, Chandigarh	1757	311
Sector 29, Chandigarh	Sector 19, Chandigarh	2951	375
Sector 30, Chandigarh	Sector 19, Chandigarh	2200	321
Sector 19, Chandigarh	Sector 31, Chandigarh	4782	659
Sector 32, Chandigarh	Sector 19, Chandigarh	3537	509
Sector 33, Chandigarh	Sector 19, Chandigarh	3470	541
Sector 34, Chandigarh	Sector 19, Chandigarh	3373	554
Sector 35, Chandigarh	Sector 19, Chandigarh	4393	681
Sector 36, Chandigarh	Sector 19, Chandigarh	5349	742
Sector 37, Chandigarh	Sector 19, Chandigarh	5846	852
Sector 38, Chandigarh	Sector 19, Chandigarh	7029	970
Sector 39, Chandigarh	Sector 19, Chandigarh	8618	1131
Sector 40, Chandigarh	Sector 19, Chandigarh	7782	1038
Sector 19, Chandigarh	Sector 41, Chandigarh	7269	979
Sector 42, Chandigarh	Sector 19, Chandigarh	6663	891
Sector 43, Chandigarh	Sector 19, Chandigarh	5597	805
Sector 44, Chandigarh	Sector 19, Chandigarh	5020	765
Sector 45, Chandigarh	Sector 19, Chandigarh	4709	693
Sector 21, Chandigarh	Sector 20, Chandigarh	1350	298
Sector 22, Chandigarh	Sector 20, Chandigarh	1643	388
Sector 20, Chandigarh	Sector 23, Chandigarh	4086	642
Sector 20, Chandigarh	Sector 24, Chandigarh	4648	747
Sector 25, Chandigarh	Sector 20, Chandigarh	5614	859
Sector 26, Chandigarh	Sector 20, Chandigarh	3834	641
Sector 20, Chandigarh	Sector 27, Chandigarh	2143	386
Sector 20, Chandigarh	Sector 28, Chandigarh	3072	469
Sector 29, Chandigarh	Sector 20, Chandigarh	1567	326
Sector 20, Chandigarh	Sector 30, Chandigarh	797	199
Sector 20, Chandigarh	Sector 31, Chandigarh	3331	543
Sector 20, Chandigarh	Sector 32, Chandigarh	2120	369
Sector 20, Chandigarh	Sector 33, Chandigarh	2053	401
Sector 20, Chandigarh	Sector 34, Chandigarh	2170	428
Sector 35, Chandigarh	Sector 20, Chandigarh	3190	555
Sector 20, Chandigarh	Sector 36, Chandigarh	4173	633
Sector 20, Chandigarh	Sector 37, Chandigarh	4638	749
Sector 20, Chandigarh	Sector 38, Chandigarh	5821	870
Sector 20, Chandigarh	Sector 39, Chandigarh	7410	1030
Sector 20, Chandigarh	Sector 40, Chandigarh	6574	938
Sector 20, Chandigarh	Sector 41, Chandigarh	6091	873
Sector 42, Chandigarh	Sector 20, Chandigarh	5460	765
Sector 43, Chandigarh	Sector 20, Chandigarh	4394	679
Sector 20, Chandigarh	Sector 44, Chandigarh	3817	639
Sector 20, Chandigarh	Sector 45, Chandigarh	3506	567
Sector 21, Chandigarh	Sector 22, Chandigarh	685	185
Sector 21, Chandigarh	Sector 23, Chandigarh	1825	474
Sector 21, Chandigarh	Sector 24, Chandigarh	3708	616
Sector 21, Chandigarh	Sector 25, Chandigarh	4673	729
Sector 21, Chandigarh	Sector 26, Chandigarh	4962	754
Sector 21, Chandigarh	Sector 27, Chandigarh	3267	512
Sector 21, Chandigarh	Sector 28, Chandigarh	4197	594
Sector 21, Chandigarh	Sector 29, Chandigarh	2783	509
Sector 21, Chandigarh	Sector 30, Chandigarh	2013	383
Sector 21, Chandigarh	Sector 31, Chandigarh	4444	680
Sector 21, Chandigarh	Sector 32, Chandigarh	3207	485
Sector 21, Chandigarh	Sector 33, Chandigarh	3140	517
Sector 21, Chandigarh	Sector 34, Chandigarh	2130	358
Sector 21, Chandigarh	Sector 35, Chandigarh	2380	429
Sector 21, Chandigarh	Sector 36, Chandigarh	3343	486
Sector 21, Chandigarh	Sector 37, Chandigarh	3807	602
Sector 21, Chandigarh	Sector 38, Chandigarh	4990	723
Sector 21, Chandigarh	Sector 39, Chandigarh	6579	883
Sector 21, Chandigarh	Sector 40, Chandigarh	5743	791
Sector 21, Chandigarh	Sector 41, Chandigarh	5263	724
Sector 21, Chandigarh	Sector 42, Chandigarh	4650	636
Sector 21, Chandigarh	Sector 43, Chandigarh	3554	578
Sector 21, Chandigarh	Sector 44, Chandigarh	3648	615
Sector 21, Chandigarh	Sector 45, Chandigarh	3820	624
Sector 22, Chandigarh	Sector 23, Chandigarh	1121	285
Sector 22, Chandigarh	Sector 24, Chandigarh	2961	459
Sector 22, Chandigarh	Sector 25, Chandigarh	3927	572
Sector 22, Chandigarh	Sector 26, Chandigarh	5222	786
Sector 22, Chandigarh	Sector 27, Chandigarh	3547	558
Sector 22, Chandigarh	Sector 28, Chandigarh	4476	641
Sector 29, Chandigarh	Sector 22, Chandigarh	3065	574
Sector 22, Chandigarh	Sector 30, Chandigarh	2296	448
Sector 22, Chandigarh	Sector 31, Chandigarh	4705	713
Sector 22, Chandigarh	Sector 32, Chandigarh	3468	517
Sector 22, Chandigarh	Sector 33, Chandigarh	3126	518
Sector 22, Chandigarh	Sector 34, Chandigarh	2005	349
Sector 22, Chandigarh	Sector 35, Chandigarh	2359	416
Sector 22, Chandigarh	Sector 36, Chandigarh	2642	445
Sector 22, Chandigarh	Sector 37, Chandigarh	3087	540
Sector 22, Chandigarh	Sector 38, Chandigarh	4270	661
Sector 22, Chandigarh	Sector 39, Chandigarh	5859	821
Sector 22, Chandigarh	Sector 40, Chandigarh	5023	729
Sector 22, Chandigarh	Sector 41, Chandigarh	4562	683
Sector 42, Chandigarh	Sector 22, Chandigarh	3949	595
Sector 22, Chandigarh	Sector 43, Chandigarh	3429	569
Sector 22, Chandigarh	Sector 44, Chandigarh	3523	606
Sector 22, Chandigarh	Sector 45, Chandigarh	4182	631
Sector 23, Chandigarh	Sector 24, Chandigarh	1031	185
Sector 25, Chandigarh	Sector 23, Chandigarh	1866	341
Sector 26, Chandigarh	Sector 23, Chandigarh	7198	874
Sector 27, Chandigarh	Sector 23, Chandigarh	4707	739
Sector 28, Chandigarh	Sector 23, Chandigarh	5637	821
Sector 29, Chandigarh	Sector 23, Chandigarh	5511	780
Sector 23, Chandigarh	Sector 30, Chandigarh	4438	667
Sector 23, Chandigarh	Sector 31, Chandigarh	5666	862
Sector 23, Chandigarh	Sector 32, Chandigarh	4429	667
Sector 33, Chandigarh	Sector 23, Chandigarh	4087	667
Sector 34, Chandigarh	Sector 23, Chandigarh	2967	480
Sector 35, Chandigarh	Sector 23, Chandigarh	2041	329
Sector 36, Chandigarh	Sector 23, Chandigarh	2159	293
Sector 37, Chandigarh	Sector 23, Chandigarh	2189	319
Sector 23, Chandigarh	Sector 38, Chandigarh	3372	437
Sector 23, Chandigarh	Sector 39, Chandigarh	4961	597
Sector 40, Chandigarh	Sector 23, Chandigarh	4124	505
Sector 23, Chandigarh	Sector 41, Chandigarh	3657	477
Sector 42, Chandigarh	Sector 23, Chandigarh	3870	466
Sector 43, Chandigarh	Sector 23, Chandigarh	3431	515
Sector 44, Chandigarh	Sector 23, Chandigarh	4469	679
Sector 23, Chandigarh	Sector 45, Chandigarh	5141	713
Sector 25, Chandigarh	Sector 24, Chandigarh	1165	239
Sector 26, Chandigarh	Sector 24, Chandigarh	7827	931
Sector 27, Chandigarh	Sector 24, Chandigarh	5338	806
Sector 28, Chandigarh	Sector 24, Chandigarh	6268	888
Sector 29, Chandigarh	Sector 24, Chandigarh	6142	846
Sector 24, Chandigarh	Sector 30, Chandigarh	5391	793
Sector 24, Chandigarh	Sector 31, Chandigarh	6676	1000
Sector 24, Chandigarh	Sector 32, Chandigarh	5439	805
Sector 33, Chandigarh	Sector 24, Chandigarh	5097	805
Sector 34, Chandigarh	Sector 24, Chandigarh	3978	618
Sector 35, Chandigarh	Sector 24, Chandigarh	3036	451
Sector 36, Chandigarh	Sector 24, Chandigarh	2095	320
Sector 37, Chandigarh	Sector 24, Chandigarh	2124	345
Sector 38, Chandigarh	Sector 24, Chandigarh	2664	426
Sector 39, Chandigarh	Sector 24, Chandigarh	4252	586
Sector 40, Chandigarh	Sector 24, Chandigarh	3416	494
Sector 24, Chandigarh	Sector 41, Chandigarh	3593	504
Sector 42, Chandigarh	Sector 24, Chandigarh	3805	492
Sector 43, Chandigarh	Sector 24, Chandigarh	4401	625
Sector 44, Chandigarh	Sector 24, Chandigarh	5452	795
Sector 24, Chandigarh	Sector 45, Chandigarh	6123	829
Sector 25, Chandigarh	Sector 26, Chandigarh	8712	1047
Sector 25, Chandigarh	Sector 27, Chandigarh	6223	922
Sector 25, Chandigarh	Sector 28, Chandigarh	7152	1004
Sector 29, Chandigarh	Sector 25, Chandigarh	7027	963
Sector 25, Chandigarh	Sector 30, Chandigarh	6177	887
Sector 25, Chandigarh	Sector 31, Chandigarh	7405	1083
Sector 25, Chandigarh	Sector 32, Chandigarh	6168	887
Sector 25, Chandigarh	Sector 33, Chandigarh	5826	888
Sector 25, Chandigarh	Sector 34, Chandigarh	4707	700
Sector 25, Chandigarh	Sector 35, Chandigarh	3765	533
Sector 25, Chandigarh	Sector 36, Chandigarh	2823	402
Sector 25, Chandigarh	Sector 37, Chandigarh	2429	366
Sector 25, Chandigarh	Sector 38, Chandigarh	2431	363
Sector 25, Chandigarh	Sector 39, Chandigarh	4019	524
Sector 25, Chandigarh	Sector 40, Chandigarh	3183	431
Sector 25, Chandigarh	Sector 41, Chandigarh	3632	536
Sector 42, Chandigarh	Sector 25, Chandigarh	4550	564
Sector 25, Chandigarh	Sector 43, Chandigarh	5157	699
Sector 25, Chandigarh	Sector 44, Chandigarh	6208	869
Sector 25, Chandigarh	Sector 45, Chandigarh	6880	903
Sector 26, Chandigarh	Sector 27, Chandigarh	2161	358
Sector 26, Chandigarh	Sector 28, Chandigarh	2118	346
Sector 29, Chandigarh	Sector 26, Chandigarh	3347	483
Sector 26, Chandigarh	Sector 30, Chandigarh	3702	513
Sector 26, Chandigarh	Sector 31, Chandigarh	5178	767
Sector 26, Chandigarh	Sector 32, Chandigarh	4900	752
Sector 26, Chandigarh	Sector 33, Chandigarh	4833	784
Sector 26, Chandigarh	Sector 34, Chandigarh	5958	910
Sector 35, Chandigarh	Sector 26, Chandigarh	7562	1034
Sector 26, Chandigarh	Sector 36, Chandigarh	7844	1064
Sector 26, Chandigarh	Sector 37, Chandigarh	8399	1123
Sector 26, Chandigarh	Sector 38, Chandigarh	9581	1242
Sector 26, Chandigarh	Sector 39, Chandigarh	11170	1402
Sector 26, Chandigarh	Sector 40, Chandigarh	10334	1310
Sector 26, Chandigarh	Sector 41, Chandigarh	9867	1282
Sector 42, Chandigarh	Sector 26, Chandigarh	9151	1213
Sector 43, Chandigarh	Sector 26, Chandigarh	8182	1161
Sector 26, Chandigarh	Sector 44, Chandigarh	7605	1121
Sector 26, Chandigarh	Sector 45, Chandigarh	6855	1040
Sector 27, Chandigarh	Sector 28, Chandigarh	917	155
Sector 29, Chandigarh	Sector 27, Chandigarh	2082	251
Sector 27, Chandigarh	Sector 30, Chandigarh	1898	276
Sector 27, Chandigarh	Sector 31, Chandigarh	3914	536
Sector 27, Chandigarh	Sector 32, Chandigarh	3236	464
Sector 27, Chandigarh	Sector 33, Chandigarh	3169	496
Sector 27, Chandigarh	Sector 34, Chandigarh	4228	662
Sector 35, Chandigarh	Sector 27, Chandigarh	5247	789
Sector 27, Chandigarh	Sector 36, Chandigarh	6219	859
Sector 27, Chandigarh	Sector 37, Chandigarh	6716	969
Sector 27, Chandigarh	Sector 38, Chandigarh	7899	1088
Sector 27, Chandigarh	Sector 39, Chandigarh	9488	1248
Sector 27, Chandigarh	Sector 40, Chandigarh	8652	1156
Sector 27, Chandigarh	Sector 41, Chandigarh	8190	1087
Sector 42, Chandigarh	Sector 27, Chandigarh	7559	979
Sector 43, Chandigarh	Sector 27, Chandigarh	6493	893
Sector 27, Chandigarh	Sector 44, Chandigarh	5916	853
Sector 27, Chandigarh	Sector 45, Chandigarh	5191	752
Sector 29, Chandigarh	Sector 28, Chandigarh	1930	233
Sector 28, Chandigarh	Sector 30, Chandigarh	2285	263
Sector 28, Chandigarh	Sector 31, Chandigarh	3762	517
Sector 28, Chandigarh	Sector 32, Chandigarh	4146	511
Sector 33, Chandigarh	Sector 28, Chandigarh	4079	543
Sector 34, Chandigarh	Sector 28, Chandigarh	5139	711
Sector 35, Chandigarh	Sector 28, Chandigarh	6174	853
Sector 36, Chandigarh	Sector 28, Chandigarh	7140	930
Sector 37, Chandigarh	Sector 28, Chandigarh	7638	1040
Sector 28, Chandigarh	Sector 38, Chandigarh	8821	1159
Sector 28, Chandigarh	Sector 39, Chandigarh	10410	1319
Sector 40, Chandigarh	Sector 28, Chandigarh	9573	1227
Sector 28, Chandigarh	Sector 41, Chandigarh	9100	1134
Sector 42, Chandigarh	Sector 28, Chandigarh	8469	1026
Sector 43, Chandigarh	Sector 28, Chandigarh	7403	941
Sector 44, Chandigarh	Sector 28, Chandigarh	6826	900
Sector 28, Chandigarh	Sector 45, Chandigarh	6101	799
Sector 29, Chandigarh	Sector 30, Chandigarh	770	134
Sector 29, Chandigarh	Sector 31, Chandigarh	2261	332
Sector 29, Chandigarh	Sector 32, Chandigarh	2227	349
Sector 29, Chandigarh	Sector 33, Chandigarh	2604	402
Sector 29, Chandigarh	Sector 34, Chandigarh	3664	569
Sector 29, Chandigarh	Sector 35, Chandigarh	4699	712
Sector 29, Chandigarh	Sector 36, Chandigarh	5683	790
Sector 29, Chandigarh	Sector 37, Chandigarh	6147	905
Sector 29, Chandigarh	Sector 38, Chandigarh	7330	1026
Sector 29, Chandigarh	Sector 39, Chandigarh	8929	1169
Sector 29, Chandigarh	Sector 40, Chandigarh	8093	1077
Sector 29, Chandigarh	Sector 41, Chandigarh	7609	981
Sector 29, Chandigarh	Sector 42, Chandigarh	6978	873
Sector 29, Chandigarh	Sector 43, Chandigarh	5912	787
Sector 29, Chandigarh	Sector 44, Chandigarh	5335	747
Sector 29, Chandigarh	Sector 45, Chandigarh	4610	646
Sector 30, Chandigarh	Sector 31, Chandigarh	2581	393
Sector 30, Chandigarh	Sector 32, Chandigarh	1860	248
Sector 33, Chandigarh	Sector 30, Chandigarh	1793	280
Sector 34, Chandigarh	Sector 30, Chandigarh	2854	448
Sector 35, Chandigarh	Sector 30, Chandigarh	3889	590
Sector 36, Chandigarh	Sector 30, Chandigarh	4872	668
Sector 37, Chandigarh	Sector 30, Chandigarh	5337	784
Sector 38, Chandigarh	Sector 30, Chandigarh	6520	905
Sector 39, Chandigarh	Sector 30, Chandigarh	8134	1060
Sector 40, Chandigarh	Sector 30, Chandigarh	7298	968
Sector 30, Chandigarh	Sector 41, Chandigarh	6814	872
Sector 42, Chandigarh	Sector 30, Chandigarh	6183	763
Sector 43, Chandigarh	Sector 30, Chandigarh	5117	678
Sector 44, Chandigarh	Sector 30, Chandigarh	4540	638
Sector 30, Chandigarh	Sector 45, Chandigarh	3815	537
Sector 32, Chandigarh	Sector 31, Chandigarh	1513	283
Sector 33, Chandigarh	Sector 31, Chandigarh	2516	435
Sector 34, Chandigarh	Sector 31, Chandigarh	4385	615
Sector 35, Chandigarh	Sector 31, Chandigarh	5412	778
Sector 36, Chandigarh	Sector 31, Chandigarh	6371	823
Sector 37, Chandigarh	Sector 31, Chandigarh	6825	879
Sector 38, Chandigarh	Sector 31, Chandigarh	8011	1043
Sector 39, Chandigarh	Sector 31, Chandigarh	8201	1072
